mode,data_size_bytes,data_size_label,trials,enc_time_mean_s,enc_time_stdev_s,dec_time_mean_s,dec_time_stdev_s,enc_throughput_MBps,dec_throughput_MBps
ECB,1024,1 KB,5,1.154e-05,1.302e-05,6.62e-06,2.83e-06,84.6241,147.5171
CBC,1024,1 KB,5,1.422e-05,1.366e-05,9.56e-06,3.33e-06,68.6753,102.1509
CTR,1024,1 KB,5,1.15e-05,9.29e-06,7.64e-06,2.18e-06,84.9185,127.8223
GCM,1024,1 KB,5,3.908e-05,1.308e-05,4.204e-05,5.86e-06,24.9888,23.2294
ECB,10240,10 KB,5,1.412e-05,1.656e-05,7.86e-06,2.65e-06,691.6165,1242.4461
CBC,10240,10 KB,5,2.538e-05,1.447e-05,2.094e-05,2.84e-06,384.7764,466.3622
CTR,10240,10 KB,5,1.932e-05,2.2e-05,1.072e-05,3.75e-06,505.467,910.9727
GCM,10240,10 KB,5,7.478e-05,8.372e-05,5.188e-05,1.641e-05,130.5914,188.2349
ECB,102400,100 KB,5,3.732e-05,2.245e-05,2.976e-05,1.005e-05,2616.7268,3281.4607
CBC,102400,100 KB,5,0.0002364,7.854e-05,0.0002061,5.486e-05,413.0975,473.8295
CTR,102400,100 KB,5,3.928e-05,1.522e-05,3.382e-05,7.02e-06,2486.1571,2887.5297
GCM,102400,100 KB,5,7.926e-05,2.34e-05,7.32e-05,9.58e-06,1232.1001,1334.1017
ECB,1048576,1 MB,5,0.00097506,8.242e-05,0.00098638,0.00017048,1025.5779,1013.8081
CBC,1048576,1 MB,5,0.0020325,6.052e-05,0.00210878,3.768e-05,492.0049,474.2078
CTR,1048576,1 MB,5,0.00077894,0.00010409,0.00079388,9.925e-05,1283.7959,1259.6362
GCM,1048576,1 MB,5,0.00091454,0.00013274,0.00089632,0.00013207,1093.4459,1115.673
